machine	verdict	diagnoses
1RB0LF_1RC1RB_1LD0RA_1LA0LE_0LC1LC_1LE---	open	too-many-params
1RB0LB_1RC1LC_1LD1RE_---0LA_1RE0RF_1RA0LF	open	no-period,too-many-params
1RB0RA_0LC1LF_1LE1LD_0LB---_1RA0LC_1LA1LC	open	silent
1RB0LD_1RC0RB_1RD1RF_1LE0LD_1RB1LA_---0RE	open	silent
1RB1RF_1LC0LF_---0LD_0LE1LD_0RF0LB_1RA1RE	open	too-many-params
1RB0RD_1LC0LE_0RA0LB_1RC1RF_1LB1RD_0RC---	open	halt-reached,no-period
1RB0LD_1RC1RB_1RD0RA_0LE1LF_---1LA_1LA0LC	open	no-period,rule,too-many-params
1RB---_0RC0RF_0RD0RA_1RE0LB_1LF0LE_1RC0LE	open	no-period,too-many-params
1RB1RA_1RC0RE_0RD1LE_0LE---_1LF0LC_0RA1LC	open	no-period,too-many-params
1RB0RA_0RC0LE_0LD1RA_1LB0RF_0LD1LC_1RD---	open	no-period
1RB0RA_1LC0RA_0LD0LC_1RD1RE_1LF0LE_---0LB	open	no-period,too-many-params
1RB---_1LC0RF_1LD0LC_0RE0LF_0RD1LA_1RB0LE	open	too-many-params
1RB0RC_0LC0LE_1RA0RD_1LB1RF_1LC1LB_0RA---	open	no-period,too-many-params
1RB0RC_1LA0LD_1RB0RD_1LE0RF_0LB0RB_1RC---	open	silent
1RB0RA_1LC0RE_0LD0LB_1LA1LF_1RA0LF_1LC---	open	no-period,too-many-params
1RB0LA_0RC0LE_0RD1RC_1LD1RE_1LA1RF_---0RB	open	silent
1RB1RE_1RC0RF_0LD---_1LE1LD_1RA0LB_0RE1RF	open	no-period,too-many-params
1RB1LB_1LC0LF_1LD0RC_1RE0LA_1RE1RC_---0LE	open	no-period,too-many-params
1RB1RF_1LC0LB_1RE0LD_1LB0RF_0RA0RC_1RE---	open	no-period,rule,too-many-params
1RB1RF_1RC1RA_1LD0LA_---0LE_0LF1LE_0RA0LC	open	too-many-params
1RB1RF_0RC0LE_1RD0RF_1LB---_1LB1LE_1RA0LC	open	no-period,rule,too-many-params
1RB---_1RC1LE_1RD0RC_0LB1RF_1LB0LE_1RA0RE	open	no-period,too-many-params
1RB0LD_0RC---_0RD0RF_1LE0LA_1LF1LE_1RA0RD	open	no-period,too-many-params
1RB0RD_0RC---_1LD0RC_1RE0LE_1RF1LE_0LD1RA	open	no-period,too-many-params
1RB1RA_0LC0RA_1LF0LD_1LE0RC_1LB1LD_1RB---	open	no-period,rule,too-many-params
1RB1RA_1LC0RD_1LD1LB_1LE0LF_0RA---_0LB1RE	open	no-period,rule,too-many-params
1RB1RE_0RC0RF_1LC1RD_1RA0LE_0RA0LD_0RA---	open	too-many-params
1RB0LE_1RC0LF_0LD0RC_1RA1LD_1LB0LE_---0RE	open	halt-reached,too-many-params
1RB0RC_0RC1RC_0LD0RA_1LE0LF_0LA1LC_---1LA	open	no-period
1RB0RA_1LC0RD_0LD0LB_1RA0LE_1LF---_0RA1LB	open	no-period,too-many-params
1RB0RE_1LC0RA_1LA1LD_0LC1LF_0LB1RB_1RA---	open	too-many-params
1RB1RE_1LC0RA_1LD1LB_1LE0LF_1LA0LB_1LB---	open	no-period
1RB0LE_1LC0RA_1RD0RC_1LA0LD_1LB0LF_1LC---	open	no-period,too-many-params
1RB1LD_0RC0RB_1LD1LA_0LE---_1LF0LD_1LA0LB	open	no-period
1RB0RC_1RC1LB_1LD1RA_1LE0LB_---1LF_0LF0LC	open	too-many-params
1RB0LE_0RC0RA_1RD1RB_0LA0RB_1LF---_1LD1LF	open	silent
1RB1RE_1LC0RD_1LD0LD_1RA0LC_0LB0RF_0RA---	open	no-period,too-many-params
1RB1LC_1LA0RD_1LA0LA_---1RE_1RB0RF_1RC0RA	open	no-period,too-many-params
1RB1LE_1RC1RF_0RD0LB_1LD0RA_0LA0LE_0RC---	open	no-period,too-many-params
1RB0RF_0LC---_1LD1LC_1RE0LA_1RA1RD_0RD1RF	open	no-period,too-many-params
1RB1RF_1RC1LC_1LD0LE_---1LE_1RF0LB_0RA1RE	open	too-many-params
1RB0RF_1RC0RD_1LD1LB_1RE0LC_1RA1RD_1RD---	open	silent
1RB0LC_1LA1RD_1LA0LC_0RE---_0RF1RF_0RA0LB	open	silent
1RB0RE_1RC0LE_0RD---_0RE0RA_1LF0LB_1LA1LF	open	no-period,too-many-params
1RB0LD_1RC1RE_1LD0RA_1LA0LA_0LC0RF_0RB---	open	too-many-params
1RB1RE_1LC1LE_0RD0LB_1RF1RA_0RC0RE_0RA---	open	no-period,too-many-params
1RB0LE_0RC0RA_1RD1RF_1LA0LD_1LD0RF_1RB---	open	no-period,too-many-params
1RB0RD_1RC1RB_1LD0LA_1LE0RA_0LF---_0LA0LC	open	no-period,too-many-params
1RB0LC_0RC0RF_1RD0LE_1LA1RA_1LC1RB_0RB---	open	no-period,rule
1RB0RA_0RC1LD_0LD0RE_1LB1LE_1RA0LF_0LC---	open	rule,too-many-params
1RB0RF_1RC0LE_1LD0LC_1RE0RD_1LB0RA_1RC---	open	too-many-params
1RB0RA_1LC0RA_1RB1LD_0LE---_0LF1LF_0LB0RC	open	silent
1RB0LB_1RC1LB_0LA1RD_1RE0RA_0RF---_1LA0RF	open	too-many-params
1RB0LC_1LA1RD_1LA1LF_0RE---_1RA1RE_0RB0LA	open	no-period,too-many-params
1RB0RA_1RC1RF_1LD0LC_1RA1LE_1RA0LC_---0RD	open	silent
1RB0LC_1RC1RA_1RD0RF_0LE---_1LA1LE_0RA1LD	open	no-period,too-many-params
1RB1LB_1LC0LD_---1LD_1RE0LA_0RF1RD_1RA1RE	open	too-many-params
1RB1RE_1LC0RA_1LD0LC_0RA1RF_0RD---_1RC1RA	open	silent
1RB0LF_0LC0RE_0RA1LD_1LB0LD_0RA1RC_1LA---	open	silent
1RB0LF_1RC0RB_1LD0RA_0LE0LC_1LB1LF_1LD---	open	no-period,too-many-params
1RB0LD_0RC1RA_1RD1RB_1RE1LE_1LF0LA_---1LA	open	too-many-params
1RB1LA_1RC0LE_1RD0LF_0LA0RD_1LC0LE_---0RE	open	halt-reached,too-many-params
1RB0RE_1LC---_0RA0LD_1LC1LD_1RF0LA_1RC1RE	open	no-period,rule,too-many-params
1RB0RB_1LC0RA_1LE1LD_0RE0LF_1RA0LB_0LC---	open	too-many-params
1RB0RA_1LC0RA_0LF0LD_1LE---_0LC0LB_1LA0RE	open	no-period,too-many-params
1RB0LF_0LC1LB_0RD1LA_1RE0RA_---1RD_1RC1LF	open	too-many-params
1RB1RF_1LC0RB_1RD0LC_1LE1RA_0RC1LB_---1RE	open	no-period,too-many-params
1RB0LF_0RC0RB_1LC1LD_1RE0RD_---0RA_1LA0LF	open	no-period,too-many-params
1RB1LB_1LC0RE_0LE0LD_0LC---_1LA0RF_1RE1LC	open	no-period
1RB1RA_1LC0RE_1LE0LD_0LB1LB_1RA0LF_1LD---	open	no-period,too-many-params
1RB0RC_1LC1LA_1RD0LB_1RE1RC_1RA0RF_1RC---	open	silent
1RB1RE_1RC0RF_0LD---_1LE1LD_1RA0LB_0RE1LC	open	no-period,too-many-params
1RB---_0RC1RC_1RD0LE_1RE0RB_1LF0RA_1LC1LF	open	too-many-params
1RB0LC_1RC0RC_1LD0RB_1LA1LE_0RA0LF_0LD---	open	too-many-params
1RB0LE_1RC0LB_1RD0RC_1LA1RC_---1LF_1LB1LD	open	no-period,too-many-params
1RB0RD_1LC1LB_---1LD_1RA0RE_1RD0LF_1LE0LD	open	too-many-params
1RB0RC_1RC1LD_0RD0RA_1LE0LF_1LB---_1RC1LB	open	no-period,too-many-params
1RB---_1RC---_1RD1LC_1LE1RF_1LC0LE_1RA0RD	open	no-period
1RB1LD_1RC0RB_1LA1RC_1LE0LA_1LF---_1LC---	open	no-period,too-many-params
1RB0LA_1RC---_1RD1LC_1LC1RE_1LA1RF_0RB0RD	open	no-period
1RB0LE_1RC1LA_1LD1RE_1LB0LD_1RF0RC_1RB---	open	no-period
1RB---_1LC0RF_0RA0LD_1LE1LF_1RF0LF_0LC0RA	open	too-many-params
1RB1RF_1RC---_1RD1LC_1LE1RF_1LC0LE_1RA0RA	open	no-period,too-many-params
1RB1LD_1RC0RE_1LA1RC_0LC0LA_0RF0RC_---0RB	open	no-period,too-many-params
1RB0RA_1LC0RC_1LE0LD_1LC1LF_1RA1LC_1LC---	open	no-period,too-many-params
1RB1RF_1RC0RA_1LD1RB_1LE0LD_1RB0LB_0RB---	open	no-period,too-many-params
1RB1RF_1LC1RE_0LD0LC_1RD0RB_1RA0RB_1LB---	open	no-period,too-many-params
1RB0LE_1LC0RE_0RA0LD_1LA1LF_0LC0RE_0LA---	open	silent
1RB0LD_0RC---_1LD0RF_0LE0RA_0RA1LF_0LA1LB	open	silent
1RB1LD_1RC0RB_1LA1RC_1LE0LA_0LF1LC_1RD---	open	no-period,too-many-params
1RB0LA_0RC---_1RD0LE_0LC0RE_1RF0RB_1LA1RD	open	no-period,too-many-params
1RB0RC_1LC1RE_0LE0LD_1LC0LB_0RA0RF_1RA---	open	too-many-params
1RB0RE_0RC0RF_1LD1RA_1RE0LD_0LB1RC_1LE---	open	no-period
1RB1LE_1LC0LF_1LA1RD_1LB0RD_0LC0LA_---1RA	open	no-period,too-many-params
1RB0RF_1LC1RA_1LD0LC_0LE0LA_1RF---_1RA1RE	open	no-period,too-many-params
1RB---_1LC1LB_1LD1RC_1RF1LE_1LA0LD_1RC0RF	open	no-period,too-many-params
1RB0LE_1LC0RE_0RA0LD_1LA1LF_0LC1RF_0LB---	open	silent
1RB0RA_1LC1RF_0LD0LC_1RE0RB_1RF---_1RA1RD	open	no-period
1RB1LF_0RC0RB_0LD0LA_1RE---_1LA1LC_1LE1RE	open	no-period
1RB1LC_1LA0RE_1LD0LC_1LE0LB_0LF1RA_0RA---	open	silent
1RB0RA_1RC0RD_1LD1LE_1LF0LC_0LD---_1RA1LD	open	no-period,too-many-params
1RB1RA_1LC1LE_1RA1LD_0LB0LC_1LF0RE_1LB---	open	no-period,too-many-params
1RB0LE_1LC0RE_0RA0LD_1LA1LF_0LC0RE_0LC---	open	too-many-params
1RB0LE_1LC1RD_1LA0LC_1RA1RE_0RF0RB_1LC---	open	no-period
1RB1LD_1LC0RD_0LA0RB_0LE1LF_1RF0LC_0RB---	open	too-many-params
1RB0RC_0LA0LC_1LD0RB_1LE---_1RF0LB_1RA0RF	open	no-period,too-many-params
1RB1LA_1LC1RE_0RD0LC_1LE1RF_1RA0RB_0RD---	open	no-period,too-many-params
1RB0RC_1RC1LB_1LD1RE_1LB0LD_0RF1RA_1RD---	open	no-period
1RB0RE_1RC---_1RD1RD_1RE1LD_1LF1RA_1LC0LF	open	no-period,too-many-params
1RB1LD_1RC0RB_1LA1RC_1RE0LA_1LF1LE_1LC---	open	no-period,too-many-params
1RB1LE_1RC0RB_1RD1LF_1LA0LC_1LD0LA_---0RE	open	no-period
1RB0RE_1LC1RD_1LA0LC_1RA0RB_0RF1LC_0RB---	open	no-period,too-many-params
1RB0LD_1RC0RB_1LA0RD_1LA0RE_1RF---_0LC0LF	open	no-period
1RB0RA_1RC0RD_0LB0LD_1LE0RC_1LF---_1RA0LC	open	no-period,too-many-params
1RB1LB_1LC1RB_1RF1LD_0LE0LC_0RC---_1LA0RF	open	no-period
1RB0RD_1RC---_1LD1LE_1LE0LC_1RF1LD_1RA0RF	open	no-period,too-many-params
1RB1RE_1LC1RD_1LA1LC_0RA0RB_1RF0LE_1RA---	open	no-period,too-many-params
1RB0LA_0RC1RF_0LD1RE_1LA0RB_0RD---_1RA1RD	open	no-period,too-many-params
1RB0LD_0LC0RE_1LA0RD_0RB1LF_1RC0RF_0RA---	open	too-many-params
1RB1LD_1RC0RB_1LA0LE_1LC0LA_0LF1RB_0RB---	open	no-period
1RB---_1LC0RF_0RA0LD_1LE1LA_1RF0LF_0LC0RA	open	too-many-params
1RB1RF_1RC0RA_1LD1RB_1LE0LD_0RA0LB_0RB---	open	no-period,too-many-params
1RB1RE_1LC1RD_1LA0LC_1RA0RB_1RF0LD_0RD---	open	no-period,too-many-params
1RB0LB_0RC0LD_1LD1RE_0LA0RF_0RD1RB_0RC---	open	silent
1RB0RD_1LC1RE_0LD1LC_1RA0LA_1RF0RC_---1RA	open	no-period,too-many-params
1RB0RE_1LC1RD_1LA0LC_1RA0RB_1RF1LC_0RC---	open	no-period
1RB0RE_1LC1RA_1LD0LC_1LA0LA_1RA1RF_0RA---	open	no-period,too-many-params
1RB1RF_1LC0RD_1RE0LD_0RE0LF_0LB0RA_0LC---	open	no-period,too-many-params
1RB1LD_1RC0RB_1LD0RD_1LA0LE_1LD1LF_1LA---	open	no-period,too-many-params
1RB1RF_1LC0RE_1LE1LD_1RE0LC_1RA1RA_1RD---	open	no-period,too-many-params
1RB0RF_1RC0RB_1LD1RA_1LE0LD_1RB0LA_0LD---	open	no-period
1RB0LB_0RC0LD_1LD1RE_0LA0RF_1RB0RD_0RB---	open	silent
1RB1LD_1RC0RB_1LD0RD_1LA0LE_1LD0LF_1RD---	open	no-period,too-many-params
1RB---_1RC0LC_0RD0LE_1LE1RF_0LB0RC_0RE0RA	open	too-many-params
1RB0RC_1RC1LB_1LD1RA_0LE0LD_1LA1RF_0RE---	open	no-period,too-many-params
1RB0RF_1RC0RA_1LD1RB_1LE0LD_1LB0LB_0RB---	open	no-period,too-many-params
1RB1LF_1LC0LD_1LD1RC_1RE1LB_0RA0RE_0LA---	open	no-period
1RB0RE_1LC1RD_1LA0LC_1RA0RB_1RF1LC_1LA---	open	no-period,too-many-params
1RB1LA_1LC1RE_1RA0LD_0LE0LD_1RF0RB_1RC---	open	no-period,too-many-params
1RB---_1RC0RB_1LD1RC_0LF1LE_1LC0LD_0RA1LA	open	no-period
1RB0LB_0RC0LE_1RD0RF_1LB1RB_0LA0RE_1RE---	open	no-period
1RB1RF_1RC0RF_0RD0LC_1LE1RA_1LC---_1RB0RE	open	no-period
1RB0LF_0LC---_0LA0RD_1RE0LC_1LA0RC_1LD0LB	open	too-many-params
1RB---_1LC1RE_1LD0LC_1RB0RF_1RD0RB_1RA1LC	open	no-period,too-many-params
1RB0RE_1LC0LE_1LD0LC_1RA0LA_1RA1RF_1RA---	open	no-period,too-many-params
1RB---_1LC0LB_1RE0RD_0RA1LB_1LB1RF_1RC0RE	open	no-period
1RB0LE_0LC0RA_1LE0RD_0RB---_0LF0LD_1LA0LF	open	silent
1RB0RE_1LC1RA_1LD0LC_1LA0LA_1RA0RF_0RA---	open	no-period,too-many-params
1RB1LD_1RC0RB_1LD0RD_1LA0LE_1LD1LF_0LD---	open	no-period,too-many-params
1RB0RE_1LC1RD_1LA0LC_1RA0RB_1RF1LC_0LC---	open	no-period,too-many-params
1RB0LE_0LC0RB_1RD1LD_1RA1LF_0LB1LE_---1LB	open	no-period,too-many-params
1RB0RB_1LC0LE_1RD1LB_1RA0RD_1LB1LF_0LA---	open	no-period,too-many-params
1RB0RF_1LC1LF_1RD1LC_---1RE_0RC1RF_1RA0LB	open	no-period,too-many-params
1RB0RE_0LC0RB_1RA1LD_1LE1RE_1LB0LF_---1LC	open	no-period,too-many-params
1RB0LB_0RC0LD_1LD1RE_0LA0RB_0RD0RF_0LA---	open	silent
1RB0LB_0RC0LD_1LD1RE_0LA0RB_0RD1RF_1RA---	open	too-many-params
1RB---_1RC0LF_1RD1RD_1RE1RA_1LF0RC_1LC1LB	open	no-period,too-many-params
1RB0RB_1LC0LE_1RD1LB_1RA0RD_1LB1LF_1LE---	open	no-period,too-many-params
1RB0LE_1LC0RE_0RA0LD_1LA0LF_0LC0RA_0RE---	open	too-many-params
1RB1RF_1RC0RA_1LD1RB_1LE0LD_1RB0LB_1RA---	open	no-period,too-many-params
1RB1LD_1RC0RB_1LA0LE_1LC0LA_0LF1RB_0LA---	open	no-period
1RB0LA_1RC---_1RD1RA_1LE1RF_1LC1LE_0RC0RD	open	no-period,too-many-params
1RB0RF_1LC1RE_1LD0LC_0LE0RE_1RA1LD_1RB---	open	no-period
1RB0RC_1RC0RA_1LD1RA_0LE0LD_1RF0RC_1RE---	open	no-period
1RB1LA_1LC1RD_1LA0LC_1RE0RB_1RF1LC_1RA---	open	no-period
1RB0RE_1RC0RB_0RD0RF_0LE---_1LF1LE_1LA0LE	open	no-period,too-many-params
1RB1LC_0RC0RB_1LD0LA_1LE---_1LF0LA_1LA0LB	open	no-period,too-many-params
1RB1LD_1RC0RB_0RD0RD_1LE0LF_1LA0LE_0RB---	open	no-period
1RB1LD_1RC0RB_1LA0LE_1LC0LA_0LF1RB_1LD---	open	no-period,too-many-params
1RB0RB_1LC0LE_1RD1LB_1RA0RD_1LB1LF_0LB---	open	no-period,too-many-params
1RB1LE_1RC1LD_1RD0LF_0LA0RD_---1LB_0LD1LF	open	no-period,too-many-params
1RB0LB_0RC0LE_1RD---_1LB0RE_0RF0LA_1LA0RC	open	no-period
1RB1LE_1RC0RB_1LD0RE_1LA0LD_1LD0LF_0RB---	open	no-period
1RB1LA_1LC1RD_1LA0LC_1RE0RB_1RB0RF_0RB---	open	no-period,too-many-params
1RB---_1RC0LC_0RD0LE_1LE1RF_0LB0RC_0RE1RA	open	too-many-params
1RB1LD_1RC0RB_1LA0LE_1LC0LA_1LF1RB_1LB---	open	no-period
1RB1RF_1RC0RA_1LD1RB_1LE0LD_1RB0LB_1RE---	open	no-period,too-many-params
1RB0LD_0LC0RE_1LA0RD_0RB0LF_1RC1LA_0RB---	open	too-many-params
1RB0LE_1LC0RE_0RA0LD_1LA0LF_0LC0RE_0LB---	open	too-many-params
1RB---_0RC1LF_0RD1RB_1LE1RC_0LB0LE_0LE0LA	open	halt-reached,no-period,too-many-params
1RB1LC_1LA1RE_0RD0LA_---1LB_1LD0RF_0RE1RB	open	no-period,too-many-params
1RB1LF_0RC0RB_0LD1RB_1LE0LB_0LA1LC_0LB---	open	silent
1RB0LB_0RC0LD_1LD1RE_0LA0RB_0RD0RF_1RD---	open	silent
1RB1LC_0RC0RB_1LD0LA_1LE---_1LF1RA_1LA1LA	open	no-period
1RB1RE_0LC1RD_1LD0LD_1RA1LC_1RF0RA_---0RA	open	no-period
1RB1LA_1LC1RD_1LA0LC_1RE0RB_1RF0RB_1RA---	open	no-period
1RB1LA_1LC1RD_1LA0LC_1RE0RB_1RF1LA_1RA---	open	no-period,too-many-params
1RB0LB_0RC0LE_1RD0RF_1LB1RB_0LA1RB_1RE---	open	no-period
1RB0LE_1LC0RE_0RA0LD_1LA1LF_0LC0RE_1LA---	open	too-many-params
1RB0LE_1LC0RE_0RA0LD_1LA1LF_0LC0RA_0LE---	open	silent
1RB0RE_1LC1RA_1LD0LC_1LA0LA_1RA1RF_0RD---	open	no-period,too-many-params
1RB0LE_1LC0RE_0RA0LD_1LA1LF_0LC0RE_1LE---	open	too-many-params
1RB1RF_1LC1RE_0LD0LC_1RD0RB_1RA0RB_1RA---	open	no-period,too-many-params
1RB1LE_0RC0RB_1RD1RF_1LA0LE_0LD0LB_---0RD	open	silent
1RB1LD_1RC0RB_1LA1RC_1LF1LE_0RC0LA_1LC---	open	no-period
1RB0RA_0RC0LE_1LC0LD_1RA1LF_---1LD_1LD1LB	open	no-period,too-many-params
1RB0LE_1LC0RE_0RA0LD_1LA1LF_0LC0RA_0LB---	open	silent
1RB0LB_0RC0LD_1LD1RE_0LA0RB_0RD0RF_0RA---	open	silent
1RB1LD_1RC0RB_1LA0LE_1LC0LA_0LF1RB_1LC---	open	no-period
1RB0RF_1LC1RE_0LD0LC_1RD0RB_1RA0RB_0LC---	open	no-period,too-many-params
1RB0LB_0RC0LD_1LD1RE_0LA0RB_0RD0RF_1RA---	open	silent
1RB0LC_1LC0LD_1LE1LA_---1RA_1RF1LB_1RD0RF	open	no-period,too-many-params
1RB0RA_1LC0RE_1LD0LC_1RA1LE_1LC0LF_0RA---	open	no-period
1RB0RA_1LC1RE_1RD0LC_0LE0RF_1RA1LD_---1RD	open	no-period
1RB0RF_1LC1RE_0LD0LC_1RD0RB_1RA0RB_1RC---	open	no-period,too-many-params
1RB1LD_1RC0RB_1LA1LE_1LC0LA_1LF0RD_0LB---	open	no-period
1RB1RE_1RC1LB_1RD1RA_1LB---_1LF0RC_1RD0LF	open	no-period,too-many-params
1RB1LA_1LB1RC_0RD0RB_1LE0RF_0LE1LA_0RC---	open	no-period
1RB1LC_1RC0LF_0LD0RC_1RA1LE_---1LA_0LC1LF	open	no-period,too-many-params
1RB0RF_1LC0LF_1LD0LC_0LE0LA_1LF---_1RA1RF	open	no-period,too-many-params
1RB1RE_1LC1RD_1LA0LC_1RA0RB_1RF0LD_1LD---	open	no-period,too-many-params
1RB1LD_1RC0RB_1LA0LE_1LF0LA_0LD1RB_1LC---	open	no-period
1RB0LC_1LC0RB_0LE1LD_1LB1LA_0RA1LF_0LA---	open	too-many-params
1RB1LD_1RC0RB_1LA1LE_1LC0LA_0LF0RD_0RA---	open	no-period
1RB0RE_1LC1RD_1LA0LC_1RA0RB_1RF1LC_1RC---	open	no-period,too-many-params
1RB---_1RC1LF_1LD1RE_1LB0LD_1RA0RC_1RC0LE	open	no-period,too-many-params
1RB1LA_1LC1RE_0RD0LC_1LE1RF_1RA0RB_1RD---	open	no-period,too-many-params
1RB1RA_1RC0RA_1LD0LA_1LE0LD_1LF0LB_1RE---	open	no-period,too-many-params
1RB1LF_1RC0RB_1RD0RF_1RE---_1LF1LE_1LA0LE	open	no-period,too-many-params
1RB---_1LC0LB_1RF1RD_1RA0LE_1RC0RF_1LB1RE	open	no-period
1RB---_1RC0RF_1LD1RB_1LE0LD_1RB0LB_1RB1RA	open	no-period,too-many-params
1RB---_1LC1RF_0LE0RD_0RB0LC_1RD0LD_0RC0RA	open	no-period
1RB0LF_1LC1RC_0RA0LD_0LE1RE_0RF0LC_1RC---	open	silent
1RB0LB_0RC0LD_1LD1RE_0LA0RF_0RD1RF_0RC---	open	silent
1RB0RC_1LC1LF_1LD0LB_1RE1LC_1RA0RE_0LC---	open	no-period,too-many-params
1RB0RE_1LC1RA_1LD0LC_1RA0LA_1RA1RF_0LB---	open	no-period,too-many-params
1RB0RE_1LC1RA_1LD0LC_1RA0LA_1RA1RF_1RE---	open	no-period,too-many-params
1RB1LD_1RC0RB_1LD1RC_1LF1LE_0LB0LD_1LA---	open	no-period
1RB1LF_1LC0LD_1LD1RC_1RE1LB_0LA0RE_1LA---	open	no-period,too-many-params
1RB1LD_1RC0RB_1LA1RC_1LE0LE_1LF1LD_1LC---	open	no-period,too-many-params
1RB1RB_1RC1LB_1LD1RE_1LA0LD_1RF0RC_1RA---	open	no-period
1RB1RA_1RC---_1RD1LC_1LE1RF_1LC0LE_1LA0RD	open	no-period
1RB0RA_0RC0RE_0LD---_1LE1LD_1LF0LD_1RA0RD	open	no-period,too-many-params
1RB0LB_0RC---_1RD0RC_1LE1RD_0LA1LF_1LD0LE	open	no-period
1RB1RF_1RC0RA_1LD1RB_1LE0LD_1LB0LB_0RB---	open	no-period,too-many-params
1RB0LC_0LC---_1LA0RD_1LE1RD_1LF1RC_1RD0LA	open	no-period
1RB0RA_1LC0RC_1LE0LD_1LC1LF_1RA1LC_1LB---	open	no-period
1RB1LD_1RC0RB_1LA1LE_1LC0LA_0LF0RD_0LA---	open	no-period,too-many-params
1RB0RF_1RC1LB_1LD1RE_1LB0LD_1RF0RC_1RA---	open	no-period
1RB1LC_1LA0LF_1LD0LA_1RE0LB_1LB0RE_---1RA	open	no-period
1RB1LE_0RC0RB_1LD0LA_1LC---_1LF0LA_1LA0LE	open	no-period
1RB1LD_1LC0RE_1LA1RC_0LC0LA_0RF0RC_---0RB	open	too-many-params
1RB1RF_1LC1RE_0LD0LC_1RD0RB_1RA0RB_1RE---	open	no-period
1RB0RE_1LC0RA_0RA0LD_1LE---_1RF0LF_0LC0RA	open	silent
1RB---_1RC1RF_1LD1RE_1LB1LD_0RB0RC_1RA0LF	open	no-period,too-many-params
1RB1RF_1RC0RA_1LD1RB_1LE0LD_1LA0LB_0RB---	open	no-period,too-many-params
1RB---_1LC1LB_1LD0LB_1RE1LC_1RF0RE_1RA0RC	open	no-period,too-many-params
1RB1RE_1RC0LA_0RD0RC_1LE0LB_1LF---_1RC1LD	open	no-period
1RB0LE_1LC0RE_0RA0LD_1LA1LF_0LC0RA_1LB---	open	too-many-params
1RB1LA_1LA1RC_1RD0RB_1LE1LD_---1LF_1RA0LF	open	no-period,too-many-params
1RB0RA_1LC0RC_1LE0LD_1LC1LF_1RA1LC_1LD---	open	no-period
1RB0RF_1LC1RA_1LD0LC_1LE0LA_1LF---_1RA1RB	open	no-period,too-many-params
1RB1LD_0RC0RB_0LD1RE_0LA1LC_0RB0RF_1LC---	open	no-period,too-many-params
1RB1LD_1RC0RB_1LA1LE_1LC0LA_0LF0RD_1RC---	open	no-period,too-many-params
1RB0RA_1RC0RE_1RD---_1LE1LD_1LF0LD_1RA1LE	open	no-period,too-many-params
1RB0RA_1LC1RB_1LF1LD_1RE0LC_---1RD_1RA1LC	open	no-period
